Image ID,Image name,Annotation status,Points,ASC,AUC,AUS,BRY,CBW,CNCAC,CNTR,CRB,EOBSS,ESS,ESUR,MOB,MOG,SPMSI,WPOT,SC,SHAD,Unc,MAAR,MAECG,MAEFR,MAEN,MAENG,MAENRC,MAFG,MAFR,MAGB,MALCB,MASB,MASG,MASR
3421910,IMG_0061.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,27.000,55.000,7.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
3421908,IMG_0062.jpg,Unconfirmed,100,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,15.000,52.000,15.000,0.000,1.000,0.000,0.000,0.000,0.000,6.000
3421906,IMG_0063.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,18.000,20.000,32.000,0.000,1.000,0.000,1.000,0.000,0.000,9.000
3421904,IMG_0064.jpg,Unconfirmed,100,0.000,1.000,3.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,1.000,11.000,8.000,68.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000
3421902,IMG_0065.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,17.000,63.000,6.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000
3421901,IMG_0066.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,8.000,45.000,30.000,0.000,0.000,0.000,0.000,1.000,0.000,4.000
3421900,IMG_0067.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,13.000,77.000,6.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000
3421899,IMG_0068.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,4.000,0.000,0.000,0.000,0.000,4.000,60.000,14.000,0.000,0.000,0.000,3.000,0.000,1.000,7.000
3421898,IMG_0070.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,1.000,4.000,70.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421897,IMG_0071.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,4.000,0.000,0.000,0.000,0.000,1.000,4.000,74.000,8.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
3421896,IMG_0072.jpg,Unconfirmed,100,0.000,2.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,18.000,70.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421895,IMG_0073.jpg,Unconfirmed,100,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,9.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,16.000,60.000,6.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000
3421894,IMG_0074.jpg,Unconfirmed,100,0.000,1.000,6.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,3.000,7.000,0.000,4.000,0.000,11.000,1.000,0.000,0.000,0.000,0.000,19.000,7.000,10.000,0.000,1.000,0.000,0.000,1.000,0.000,28.000
3421893,IMG_0075.jpg,Unconfirmed,100,0.000,0.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,12.000,3.000,0.000,0.000,0.000,3.000,3.000,0.000,0.000,0.000,0.000,9.000,31.000,32.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000
3421892,IMG_0076.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,9.000,65.000,20.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000
3421891,IMG_0077.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,3.000,78.000,12.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000
3421890,IMG_0078.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,91.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421889,IMG_0079.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,4.000,84.000,3.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000
3421888,IMG_0080.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,71.000,9.000,0.000,2.000,0.000,1.000,0.000,1.000,2.000
3421887,IMG_0081.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,4.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,89.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421886,IMG_0082.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.000,66.000,0.000,2.000,0.000,0.000,4.000,0.000,5.000
3421885,IMG_0083.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,9.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,1.000,0.000,1.000,11.000,66.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000
3421884,IMG_0084.jpg,Unconfirmed,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,85.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000
3421883,IMG_0085.jpg,Unconfirmed,100,0.000,4.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,5.000,3.000,0.000,0.000,12.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,55.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421882,IMG_0086.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,65.000,27.000,0.000,1.000,0.000,0.000,1.000,0.000,3.000
3421881,IMG_0087.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,75.000,17.000,0.000,0.000,0.000,1.000,1.000,0.000,3.000
3421880,IMG_0088.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,46.000,39.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
3421879,IMG_0089.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,79.000,17.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000
3421878,IMG_0090.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,3.000,5.000,1.000,0.000,5.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421877,IMG_0091.jpg,Unconfirmed,100,0.000,1.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,5.000,0.000,67.000,0.000,1.000,0.000,0.000,1.000,0.000,12.000
3421876,IMG_0092.jpg,Unconfirmed,100,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,4.000,0.000,81.000,0.000,2.000,0.000,2.000,0.000,0.000,1.000
3421875,IMG_0093.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,2.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,5.000,1.000,69.000,0.000,2.000,0.000,11.000,0.000,0.000,1.000
3421874,IMG_0094.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,92.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000
