FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ef,912341878,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG7,Sitio Top Secret,-42.77,-64.94,12/04/2012,12,RLS,9,14:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,5,,POINT (-64.94000244140625 -42.77000045776367)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f0,912341878,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG7,Sitio Top Secret,-42.77,-64.94,12/04/2012,12,RLS,9,14:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,5,,POINT (-64.94000244140625 -42.77000045776367)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f1,912341879,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG8,El Bosque,-42.94,-64.46,15/04/2012,10,RLS,5,10:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,5,0.9538,POINT (-64.45999908447266 -42.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f2,912341879,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG8,El Bosque,-42.94,-64.46,15/04/2012,10,RLS,5,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,4,0.763,POINT (-64.45999908447266 -42.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f3,912341880,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG8,El Bosque,-42.94,-64.46,15/04/2012,10.1,RLS,5,10:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,3,0.5723,POINT (-64.45999908447266 -42.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f4,912341880,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG8,El Bosque,-42.94,-64.46,15/04/2012,10.1,RLS,5,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Bovichtidae,Bovichtus argentinus,Bovichtus argentinus,20,1,211.8668,POINT (-64.45999908447266 -42.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f5,912341880,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG8,El Bosque,-42.94,-64.46,15/04/2012,10.1,RLS,5,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,1,0.1908,POINT (-64.45999908447266 -42.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f6,912341881,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8,RLS,6,12:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,5,2,4.5568,POINT (-64.43000030517578 -42.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f7,912341881,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8,RLS,6,12:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,4,0.763,POINT (-64.43000030517578 -42.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f8,912341881,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8,RLS,6,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,6,1.1446,POINT (-64.43000030517578 -42.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40f9,912341882,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8.1,RLS,6,12:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,2,0.3815,POINT (-64.43000030517578 -42.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40fa,912341882,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8.1,RLS,6,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,5,1,2.2784,POINT (-64.43000030517578 -42.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40fb,912341882,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG9,El Pedral,-42.95,-64.43,15/04/2012,8.1,RLS,6,12:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,10,1.9076,POINT (-64.43000030517578 -42.95000076293945)
