timestamp,Puerto Madryn Temperature [2 m elevation corrected],Puerto Pirámides Temperature [2 m elevation corrected],Puerto Madryn Growing Degree Days [2 m elevation corrected],Puerto Pirámides Growing Degree Days [2 m elevation corrected],Puerto Madryn Temperature [1000 mb],Puerto Pirámides Temperature [1000 mb],Puerto Madryn Temperature [850 mb],Puerto Pirámides Temperature [850 mb],Puerto Madryn Temperature [700 mb],Puerto Pirámides Temperature [700 mb],Puerto Madryn Sunshine Duration,Puerto Pirámides Sunshine Duration,Puerto Madryn Shortwave Radiation,Puerto Pirámides Shortwave Radiation,Puerto Madryn Direct Shortwave Radiation,Puerto Pirámides Direct Shortwave Radiation,Puerto Madryn Diffuse Shortwave Radiation,Puerto Pirámides Diffuse Shortwave Radiation
20180805T1200,15.682914,13.264569,0.23678808,0.13602372,14.03,11.6,2.43,2.27,-6.04,-5.37,60.0,60.0,386.25998,365.79,227.7644,216.2413,158.49557,149.5487
20180805T1300,16.322914,14.804569,0.26345477,0.20019038,14.46,13.16,3.34,2.83,-6.13,-5.46,60.0,60.0,455.68,460.13,274.26932,277.46436,181.41068,182.66563
20180805T1400,16.602915,16.31457,0.27512145,0.26310706,14.68,14.59,3.63,3.26,-6.62,-5.73,60.0,60.0,477.93,480.6,289.4751,291.42145,188.45488,189.17854
20180805T1500,16.882915,16.324568,0.28678814,0.26352367,15.09,14.68,2.99,3.75,-6.57,-6.19,60.0,60.0,452.12,453.00998,271.63055,272.26154,180.48944,180.74844
20180805T1600,17.072914,16.08457,0.29470477,0.25352374,15.57,14.75,2.75,3.47,-5.91,-6.27,60.0,60.0,379.13998,377.36,222.76282,221.61812,156.37717,155.74187
20180805T1700,16.842915,15.62457,0.28512144,0.23435707,16.36,15.07,3.0,3.12,-5.83,-5.34,60.0,60.0,265.22,262.55,150.34067,148.64163,114.87933,113.90835
20180805T1800,15.542913,13.814569,0.23095472,0.15894039,15.63,13.76,3.15,2.97,-6.05,-5.45,60.0,60.0,122.82,117.479996,66.33745,63.32506,56.48255,54.154934
20180805T1900,12.582913,11.57457,0.107621394,0.06560707,13.37,11.91,3.21,3.11,-6.09,-5.64,27.666666,25.116667,8.01,6.23,4.162195,3.3771636,3.8478053,2.8528364
20180805T2000,11.532914,11.41457,0.06387142,0.05894041,12.15,11.75,3.31,3.11,-6.41,-5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T2100,10.382914,11.20457,0.015954733,0.050190408,11.01,11.73,3.57,3.34,-6.25,-5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T2200,9.2129135,10.7745695,0.0,0.03227373,10.21,11.62,3.88,3.65,-6.61,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180805T2300,8.422914,10.394569,0.0,0.016440392,9.64,11.45,3.67,3.97,-6.61,-6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0000,7.6429143,9.434569,0.0,0.0,8.93,11.09,3.55,3.98,-6.81,-6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0100,6.862914,8.964569,0.0,0.0,8.32,10.84,3.42,3.81,-6.54,-5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0200,6.112914,9.004569,0.0,0.0,7.63,10.8,3.25,3.71,-5.92,-5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0300,5.3929143,9.264569,0.0,0.0,6.87,10.95,3.15,3.56,-5.57,-5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0400,5.202914,9.53457,0.0,0.0,5.69,10.78,3.09,3.45,-5.17,-5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0500,4.6829143,9.354569,0.0,0.0,5.47,10.57,2.93,3.39,-5.08,-5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0600,5.402914,8.814569,0.0,0.0,5.74,10.05,2.8,3.24,-5.28,-5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0700,4.4329143,8.15457,0.0,0.0,5.02,8.96,2.77,3.09,-6.08,-5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0800,4.222914,7.754569,0.0,0.0,4.97,8.51,2.87,3.34,-5.82,-5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180806T0900,8.9629135,10.91457,0.0,0.03810708,7.97,10.67,3.74,3.88,-3.9,-3.52,27.646809,10.26383,16.91,21.36,8.826128,11.170563,8.083872,10.189438
20180806T1000,11.642914,12.53457,0.06845474,0.10560707,11.11,11.88,4.52,4.48,-3.79,-3.84,7.021276,0.0,150.41,139.73,81.89697,76.3549,68.51303,63.3751
