Date.Hour,Datetime,month,year,hour,Date.Hour Windows format,Temp. ,SITE
10/04/2019 06:01:00 p.m.,10/04/2019,4,2019,06:01:00 p.m,43565.75069,16.48695191,Alero20m
10/04/2019 08:01:00 p.m.,10/04/2019,4,2019,08:01:00 p.m,43565.83403,16.2354758,Alero20m
10/04/2019 10:01:00 p.m.,10/04/2019,4,2019,10:01:00 p.m,43565.91736,16.2354758,Alero20m
11/04/2019 12:01:00 a.m.,11/04/2019,4,2019,12:01:00 a.m,43566.00069,16.36121465,Alero20m
11/04/2019 02:01:00 a.m.,11/04/2019,4,2019,02:01:00 a.m,43566.08403,16.36121465,Alero20m
11/04/2019 04:01:00 a.m.,11/04/2019,4,2019,04:01:00 a.m,43566.16736,16.36121465,Alero20m
11/04/2019 06:01:00 a.m.,11/04/2019,4,2019,06:01:00 a.m,43566.25069,16.36121465,Alero20m
11/04/2019 08:01:00 a.m.,11/04/2019,4,2019,08:01:00 a.m,43566.33403,16.2354758,Alero20m
11/04/2019 10:01:00 a.m.,11/04/2019,4,2019,10:01:00 a.m,43566.41736,16.36121465,Alero20m
11/04/2019 12:01:00 p.m.,11/04/2019,4,2019,12:01:00 p.m,43566.50069,16.36121465,Alero20m
11/04/2019 02:01:00 p.m.,11/04/2019,4,2019,02:01:00 p.m,43566.58403,16.36121465,Alero20m
11/04/2019 04:01:00 p.m.,11/04/2019,4,2019,04:01:00 p.m,43566.66736,16.36121465,Alero20m
11/04/2019 06:01:00 p.m.,11/04/2019,4,2019,06:01:00 p.m,43566.75069,16.2354758,Alero20m
11/04/2019 08:01:00 p.m.,11/04/2019,4,2019,08:01:00 p.m,43566.83403,16.36121465,Alero20m
11/04/2019 10:01:00 p.m.,11/04/2019,4,2019,10:01:00 p.m,43566.91736,16.36121465,Alero20m
12/04/2019 12:01:00 a.m.,12/04/2019,4,2019,12:01:00 a.m,43567.00069,16.36121465,Alero20m
12/04/2019 02:01:00 a.m.,12/04/2019,4,2019,02:01:00 a.m,43567.08403,16.36121465,Alero20m
12/04/2019 04:01:00 a.m.,12/04/2019,4,2019,04:01:00 a.m,43567.16736,16.36121465,Alero20m
12/04/2019 06:01:00 a.m.,12/04/2019,4,2019,06:01:00 a.m,43567.25069,16.36121465,Alero20m
12/04/2019 08:01:00 a.m.,12/04/2019,4,2019,08:01:00 a.m,43567.33403,16.2354758,Alero20m
12/04/2019 10:01:00 a.m.,12/04/2019,4,2019,10:01:00 a.m,43567.41736,16.2354758,Alero20m
12/04/2019 12:01:00 p.m.,12/04/2019,4,2019,12:01:00 p.m,43567.50069,16.36121465,Alero20m
12/04/2019 02:01:00 p.m.,12/04/2019,4,2019,02:01:00 p.m,43567.58403,16.36121465,Alero20m
12/04/2019 04:01:00 p.m.,12/04/2019,4,2019,04:01:00 p.m,43567.66736,16.36121465,Alero20m
12/04/2019 06:01:00 p.m.,12/04/2019,4,2019,06:01:00 p.m,43567.75069,16.36121465,Alero20m
12/04/2019 08:01:00 p.m.,12/04/2019,4,2019,08:01:00 p.m,43567.83403,16.36121465,Alero20m
12/04/2019 10:01:00 p.m.,12/04/2019,4,2019,10:01:00 p.m,43567.91736,16.36121465,Alero20m
13/04/2019 12:01:00 a.m.,13/04/2019,4,2019,12:01:00 a.m,43568.00069,16.36121465,Alero20m
13/04/2019 02:01:00 a.m.,13/04/2019,4,2019,02:01:00 a.m,43568.08403,16.36121465,Alero20m
13/04/2019 04:01:00 a.m.,13/04/2019,4,2019,04:01:00 a.m,43568.16736,16.2354758,Alero20m
13/04/2019 06:01:00 a.m.,13/04/2019,4,2019,06:01:00 a.m,43568.25069,16.2354758,Alero20m
13/04/2019 08:01:00 a.m.,13/04/2019,4,2019,08:01:00 a.m,43568.33403,16.2354758,Alero20m
13/04/2019 10:01:00 a.m.,13/04/2019,4,2019,10:01:00 a.m,43568.41736,16.2354758,Alero20m
13/04/2019 12:01:00 p.m.,13/04/2019,4,2019,12:01:00 p.m,43568.50069,16.2354758,Alero20m
13/04/2019 02:01:00 p.m.,13/04/2019,4,2019,02:01:00 p.m,43568.58403,16.10973536,Alero20m
13/04/2019 04:01:00 p.m.,13/04/2019,4,2019,04:01:00 p.m,43568.66736,16.10973536,Alero20m
13/04/2019 06:01:00 p.m.,13/04/2019,4,2019,06:01:00 p.m,43568.75069,16.2354758,Alero20m
13/04/2019 08:01:00 p.m.,13/04/2019,4,2019,08:01:00 p.m,43568.83403,16.2354758,Alero20m
13/04/2019 10:01:00 p.m.,13/04/2019,4,2019,10:01:00 p.m,43568.91736,16.2354758,Alero20m
14/04/2019 12:01:00 a.m.,14/04/2019,4,2019,12:01:00 a.m,43569.00069,16.2354758,Alero20m
14/04/2019 02:01:00 a.m.,14/04/2019,4,2019,02:01:00 a.m,43569.08403,16.10973536,Alero20m
14/04/2019 04:01:00 a.m.,14/04/2019,4,2019,04:01:00 a.m,43569.16736,16.2354758,Alero20m
14/04/2019 06:01:00 a.m.,14/04/2019,4,2019,06:01:00 a.m,43569.25069,16.10973536,Alero20m
14/04/2019 08:01:00 a.m.,14/04/2019,4,2019,08:01:00 a.m,43569.33403,16.10973536,Alero20m
14/04/2019 10:01:00 a.m.,14/04/2019,4,2019,10:01:00 a.m,43569.41736,16.10973536,Alero20m
14/04/2019 12:01:00 p.m.,14/04/2019,4,2019,12:01:00 p.m,43569.50069,16.10973536,Alero20m
14/04/2019 02:01:00 p.m.,14/04/2019,4,2019,02:01:00 p.m,43569.58403,16.10973536,Alero20m
14/04/2019 04:01:00 p.m.,14/04/2019,4,2019,04:01:00 p.m,43569.66736,16.10973536,Alero20m
14/04/2019 06:01:00 p.m.,14/04/2019,4,2019,06:01:00 p.m,43569.75069,16.10973536,Alero20m
14/04/2019 08:01:00 p.m.,14/04/2019,4,2019,08:01:00 p.m,43569.83403,16.10973536,Alero20m
14/04/2019 10:01:00 p.m.,14/04/2019,4,2019,10:01:00 p.m,43569.91736,16.10973536,Alero20m
15/04/2019 12:01:00 a.m.,15/04/2019,4,2019,12:01:00 a.m,43570.00069,16.10973536,Alero20m
15/04/2019 02:01:00 a.m.,15/04/2019,4,2019,02:01:00 a.m,43570.08403,16.10973536,Alero20m
15/04/2019 04:01:00 a.m.,15/04/2019,4,2019,04:01:00 a.m,43570.16736,16.10973536,Alero20m
15/04/2019 06:01:00 a.m.,15/04/2019,4,2019,06:01:00 a.m,43570.25069,15.98399334,Alero20m
15/04/2019 08:01:00 a.m.,15/04/2019,4,2019,08:01:00 a.m,43570.33403,15.98399334,Alero20m
15/04/2019 10:01:00 a.m.,15/04/2019,4,2019,10:01:00 a.m,43570.41736,15.98399334,Alero20m
15/04/2019 12:01:00 p.m.,15/04/2019,4,2019,12:01:00 p.m,43570.50069,15.98399334,Alero20m
15/04/2019 02:01:00 p.m.,15/04/2019,4,2019,02:01:00 p.m,43570.58403,15.98399334,Alero20m
15/04/2019 04:01:00 p.m.,15/04/2019,4,2019,04:01:00 p.m,43570.66736,15.98399334,Alero20m
15/04/2019 06:01:00 p.m.,15/04/2019,4,2019,06:01:00 p.m,43570.75069,16.10973536,Alero20m
15/04/2019 08:01:00 p.m.,15/04/2019,4,2019,08:01:00 p.m,43570.83403,16.10973536,Alero20m
15/04/2019 10:01:00 p.m.,15/04/2019,4,2019,10:01:00 p.m,43570.91736,16.10973536,Alero20m
16/04/2019 12:01:00 a.m.,16/04/2019,4,2019,12:01:00 a.m,43571.00069,16.10973536,Alero20m
16/04/2019 02:01:00 a.m.,16/04/2019,4,2019,02:01:00 a.m,43571.08403,15.98399334,Alero20m
16/04/2019 04:01:00 a.m.,16/04/2019,4,2019,04:01:00 a.m,43571.16736,15.98399334,Alero20m
16/04/2019 06:01:00 a.m.,16/04/2019,4,2019,06:01:00 a.m,43571.25069,15.98399334,Alero20m
16/04/2019 08:01:00 a.m.,16/04/2019,4,2019,08:01:00 a.m,43571.33403,15.98399334,Alero20m
16/04/2019 10:01:00 a.m.,16/04/2019,4,2019,10:01:00 a.m,43571.41736,15.98399334,Alero20m
16/04/2019 12:01:00 p.m.,16/04/2019,4,2019,12:01:00 p.m,43571.50069,15.98399334,Alero20m
16/04/2019 02:01:00 p.m.,16/04/2019,4,2019,02:01:00 p.m,43571.58403,15.98399334,Alero20m
16/04/2019 04:01:00 p.m.,16/04/2019,4,2019,04:01:00 p.m,43571.66736,15.98399334,Alero20m
16/04/2019 06:01:00 p.m.,16/04/2019,4,2019,06:01:00 p.m,43571.75069,15.98399334,Alero20m
16/04/2019 08:01:00 p.m.,16/04/2019,4,2019,08:01:00 p.m,43571.83403,15.98399334,Alero20m
16/04/2019 10:01:00 p.m.,16/04/2019,4,2019,10:01:00 p.m,43571.91736,15.98399334,Alero20m
17/04/2019 12:01:00 a.m.,17/04/2019,4,2019,12:01:00 a.m,43572.00069,15.98399334,Alero20m
17/04/2019 02:01:00 a.m.,17/04/2019,4,2019,02:01:00 a.m,43572.08403,15.98399334,Alero20m
17/04/2019 04:01:00 a.m.,17/04/2019,4,2019,04:01:00 a.m,43572.16736,15.98399334,Alero20m
17/04/2019 06:01:00 a.m.,17/04/2019,4,2019,06:01:00 a.m,43572.25069,15.98399334,Alero20m
17/04/2019 08:01:00 a.m.,17/04/2019,4,2019,08:01:00 a.m,43572.33403,15.98399334,Alero20m
17/04/2019 10:01:00 a.m.,17/04/2019,4,2019,10:01:00 a.m,43572.41736,15.85824972,Alero20m
17/04/2019 12:01:00 p.m.,17/04/2019,4,2019,12:01:00 p.m,43572.50069,15.98399334,Alero20m
17/04/2019 02:01:00 p.m.,17/04/2019,4,2019,02:01:00 p.m,43572.58403,15.98399334,Alero20m
17/04/2019 04:01:00 p.m.,17/04/2019,4,2019,04:01:00 p.m,43572.66736,15.98399334,Alero20m
17/04/2019 06:01:00 p.m.,17/04/2019,4,2019,06:01:00 p.m,43572.75069,15.98399334,Alero20m
17/04/2019 08:01:00 p.m.,17/04/2019,4,2019,08:01:00 p.m,43572.83403,15.98399334,Alero20m
17/04/2019 10:01:00 p.m.,17/04/2019,4,2019,10:01:00 p.m,43572.91736,15.98399334,Alero20m
18/04/2019 12:01:00 a.m.,18/04/2019,4,2019,12:01:00 a.m,43573.00069,15.98399334,Alero20m
18/04/2019 02:01:00 a.m.,18/04/2019,4,2019,02:01:00 a.m,43573.08403,15.98399334,Alero20m
18/04/2019 04:01:00 a.m.,18/04/2019,4,2019,04:01:00 a.m,43573.16736,15.85824972,Alero20m
18/04/2019 06:01:00 a.m.,18/04/2019,4,2019,06:01:00 a.m,43573.25069,15.85824972,Alero20m
