Name,Date,region,site,reef name,reef area,understory,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,Pseudechinus magellanicus,Tegula patagonica ,Leucippa pentagona,Arbacia dufresnii,Patagonotothen,Ribeiroclinus eigenmanni,Helcogrammoides cunninghami,Pachycheles chubutensis,Doris fontainii,Diaulula punctuolata,Allostichaster capensis,Polycera marplatensis,Fissurellidea patagonica,Fissurella radiosa tixierae,Phrikoceros mopsus,Cosmasterias lurida,Sebastes oculatus,Trapania sp.,Cycethra verrucosa,Pleurobranchaea maculata,Ophioplocus januarii,Odontaster penicillatus,Calliostoma,Heterobranchia
IMG_5163 00051.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5164 00052.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IMG_5165 00053.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5166 00054.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5167 00055.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5168 00056.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),horizontal,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5169 00057.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),vertical,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5171 00058.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),overhang,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5172 00059.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_5173 00060.jpg,11/03/2019,GolfoNuevo,Pardelas,Middle_East(WE),cavefloor,no,45,-42.624056,-64.260222,medium,canon100d,Gonzalo Bravo,good,two,25x25cm,yes,First samples,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
